Product_Name,RAM,SSD,Price,Previous_Price,Promote,Gift,Status
HP 245 G10 R5 7530U (A20TDPT),N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Vivobook Go 15 E1504FA R5 7520U (NJ776W),N/A,N/A,N/A,N/A,N/A,N/A,0
Dell Inspiron 15 3520 i5 1235U (N5I5052W1),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 15 fd0234TU i5 1334U (9Q969PA),N/A,N/A,N/A,N/A,N/A,N/A,0
Lenovo Ideapad Slim 3 15IAH8 i5 12450H (83ER000EVN),N/A,N/A,N/A,N/A,N/A,N/A,0
Acer Aspire 3 A315 44P R9W8 R7 5700U (NX.KSJSV.002),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 15 fc0085AU R5 7430U (A6VV8PA),N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Vivobook 15 X1504ZA i3 1215U (NJ102W),N/A,N/A,N/A,N/A,N/A,N/A,0
Lenovo Ideapad Slim 3 15AMN8 R5 7520U (82XQ00J0VN),N/A,N/A,N/A,N/A,N/A,N/A,0
MacBook Air 13 inch M1,N/A,N/A,N/A,N/A,N/A,N/A,0
Acer Aspire Lite 14 51M 59BN i5 1235U (NX.KTXSV.001),N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Vivobook 15 OLED A1505ZA i5 12500H (MA415W),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 15 fd0303TU i3 1315U (A2NL4PA),N/A,N/A,N/A,N/A,N/A,N/A,0
Acer Aspire 3 A314 42P R3B3 R7 5700U (NX.KSFSV.001),N/A,N/A,N/A,N/A,N/A,N/A,0
Dell Inspiron 15 3520 i5 1235U,N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Vivobook X1404ZA i5 1235U (NK376W),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 240 G9 i5 1235U (AG2J7AT),N/A,N/A,N/A,N/A,N/A,N/A,0
Acer Aspire 3 A315 58 529V i5 1135G7 (NX.ADDSV.00N)                 Mẫu mới,N/A,N/A,N/A,N/A,N/A,N/A,1
Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS000JVN),N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Gaming Vivobook K3605ZF i5 12500H (RP745W),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 245 G10 R5 7530U (A20TDPT),N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Vivobook Go 15 E1504FA R5 7520U (NJ776W),N/A,N/A,N/A,N/A,N/A,N/A,0
Dell Inspiron 15 3520 i5 1235U (N5I5052W1),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 15 fd0234TU i5 1334U (9Q969PA),N/A,N/A,N/A,N/A,N/A,N/A,0
Lenovo Ideapad Slim 3 15IAH8 i5 12450H (83ER000EVN),N/A,N/A,N/A,N/A,N/A,N/A,0
Acer Aspire 3 A315 44P R9W8 R7 5700U (NX.KSJSV.002),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 15 fc0085AU R5 7430U (A6VV8PA),N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Vivobook 15 X1504ZA i3 1215U (NJ102W),N/A,N/A,N/A,N/A,N/A,N/A,0
Lenovo Ideapad Slim 3 15AMN8 R5 7520U (82XQ00J0VN),N/A,N/A,N/A,N/A,N/A,N/A,0
MacBook Air 13 inch M1,N/A,N/A,N/A,N/A,N/A,N/A,0
Acer Aspire Lite 14 51M 59BN i5 1235U (NX.KTXSV.001),N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Vivobook 15 OLED A1505ZA i5 12500H (MA415W),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 15 fd0303TU i3 1315U (A2NL4PA),N/A,N/A,N/A,N/A,N/A,N/A,0
Acer Aspire 3 A314 42P R3B3 R7 5700U (NX.KSFSV.001),N/A,N/A,N/A,N/A,N/A,N/A,0
Dell Inspiron 15 3520 i5 1235U,N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Vivobook X1404ZA i5 1235U (NK376W),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 240 G9 i5 1235U (AG2J7AT),N/A,N/A,N/A,N/A,N/A,N/A,0
Acer Aspire 3 A315 58 529V i5 1135G7 (NX.ADDSV.00N)                 Mẫu mới,N/A,N/A,N/A,N/A,N/A,N/A,1
Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS000JVN),N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Gaming Vivobook K3605ZF i5 12500H (RP745W),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 245 G10 R5 7530U (A20TDPT),N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Vivobook Go 15 E1504FA R5 7520U (NJ776W),N/A,N/A,N/A,N/A,N/A,N/A,0
Dell Inspiron 15 3520 i5 1235U (N5I5052W1),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 15 fd0234TU i5 1334U (9Q969PA),N/A,N/A,N/A,N/A,N/A,N/A,0
Lenovo Ideapad Slim 3 15IAH8 i5 12450H (83ER000EVN),N/A,N/A,N/A,N/A,N/A,N/A,0
Acer Aspire 3 A315 44P R9W8 R7 5700U (NX.KSJSV.002),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 15 fc0085AU R5 7430U (A6VV8PA),N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Vivobook 15 X1504ZA i3 1215U (NJ102W),N/A,N/A,N/A,N/A,N/A,N/A,0
Lenovo Ideapad Slim 3 15AMN8 R5 7520U (82XQ00J0VN),N/A,N/A,N/A,N/A,N/A,N/A,0
MacBook Air 13 inch M1,N/A,N/A,N/A,N/A,N/A,N/A,0
Acer Aspire Lite 14 51M 59BN i5 1235U (NX.KTXSV.001),N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Vivobook 15 OLED A1505ZA i5 12500H (MA415W),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 15 fd0303TU i3 1315U (A2NL4PA),N/A,N/A,N/A,N/A,N/A,N/A,0
Acer Aspire 3 A314 42P R3B3 R7 5700U (NX.KSFSV.001),N/A,N/A,N/A,N/A,N/A,N/A,0
Dell Inspiron 15 3520 i5 1235U,N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Vivobook X1404ZA i5 1235U (NK376W),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 240 G9 i5 1235U (AG2J7AT),N/A,N/A,N/A,N/A,N/A,N/A,0
Acer Aspire 3 A315 58 529V i5 1135G7 (NX.ADDSV.00N)                 Mẫu mới,N/A,N/A,N/A,N/A,N/A,N/A,1
Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS000JVN),N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Gaming Vivobook K3605ZF i5 12500H (RP745W),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 245 G10 R5 7530U (A20TDPT),N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Vivobook Go 15 E1504FA R5 7520U (NJ776W),N/A,N/A,N/A,N/A,N/A,N/A,0
Dell Inspiron 15 3520 i5 1235U (N5I5052W1),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 15 fd0234TU i5 1334U (9Q969PA),N/A,N/A,N/A,N/A,N/A,N/A,0
Lenovo Ideapad Slim 3 15IAH8 i5 12450H (83ER000EVN),N/A,N/A,N/A,N/A,N/A,N/A,0
Acer Aspire 3 A315 44P R9W8 R7 5700U (NX.KSJSV.002),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 15 fc0085AU R5 7430U (A6VV8PA),N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Vivobook 15 X1504ZA i3 1215U (NJ102W),N/A,N/A,N/A,N/A,N/A,N/A,0
Lenovo Ideapad Slim 3 15AMN8 R5 7520U (82XQ00J0VN),N/A,N/A,N/A,N/A,N/A,N/A,0
MacBook Air 13 inch M1,N/A,N/A,N/A,N/A,N/A,N/A,0
Acer Aspire Lite 14 51M 59BN i5 1235U (NX.KTXSV.001),N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Vivobook 15 OLED A1505ZA i5 12500H (MA415W),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 15 fd0303TU i3 1315U (A2NL4PA),N/A,N/A,N/A,N/A,N/A,N/A,0
Acer Aspire 3 A314 42P R3B3 R7 5700U (NX.KSFSV.001),N/A,N/A,N/A,N/A,N/A,N/A,0
Dell Inspiron 15 3520 i5 1235U,N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Vivobook X1404ZA i5 1235U (NK376W),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 240 G9 i5 1235U (AG2J7AT),N/A,N/A,N/A,N/A,N/A,N/A,0
Acer Aspire 3 A315 58 529V i5 1135G7 (NX.ADDSV.00N)                 Mẫu mới,N/A,N/A,N/A,N/A,N/A,N/A,1
Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS000JVN),N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Gaming Vivobook K3605ZF i5 12500H (RP745W),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 245 G10 R5 7530U (A20TDPT),N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Vivobook Go 15 E1504FA R5 7520U (NJ776W),N/A,N/A,N/A,N/A,N/A,N/A,0
Dell Inspiron 15 3520 i5 1235U (N5I5052W1),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 15 fd0234TU i5 1334U (9Q969PA),N/A,N/A,N/A,N/A,N/A,N/A,0
Lenovo Ideapad Slim 3 15IAH8 i5 12450H (83ER000EVN),N/A,N/A,N/A,N/A,N/A,N/A,0
Acer Aspire 3 A315 44P R9W8 R7 5700U (NX.KSJSV.002),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 15 fc0085AU R5 7430U (A6VV8PA),N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Vivobook 15 X1504ZA i3 1215U (NJ102W),N/A,N/A,N/A,N/A,N/A,N/A,0
Lenovo Ideapad Slim 3 15AMN8 R5 7520U (82XQ00J0VN),N/A,N/A,N/A,N/A,N/A,N/A,0
MacBook Air 13 inch M1,N/A,N/A,N/A,N/A,N/A,N/A,0
Acer Aspire Lite 14 51M 59BN i5 1235U (NX.KTXSV.001),N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Vivobook 15 OLED A1505ZA i5 12500H (MA415W),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 15 fd0303TU i3 1315U (A2NL4PA),N/A,N/A,N/A,N/A,N/A,N/A,0
Acer Aspire 3 A314 42P R3B3 R7 5700U (NX.KSFSV.001),N/A,N/A,N/A,N/A,N/A,N/A,0
Dell Inspiron 15 3520 i5 1235U,N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Vivobook X1404ZA i5 1235U (NK376W),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 240 G9 i5 1235U (AG2J7AT),N/A,N/A,N/A,N/A,N/A,N/A,0
Acer Aspire 3 A315 58 529V i5 1135G7 (NX.ADDSV.00N)                 Mẫu mới,N/A,N/A,N/A,N/A,N/A,N/A,1
Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS000JVN),N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Gaming Vivobook K3605ZF i5 12500H (RP745W),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 245 G10 R5 7530U (A20TDPT),N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Vivobook Go 15 E1504FA R5 7520U (NJ776W),N/A,N/A,N/A,N/A,N/A,N/A,0
Dell Inspiron 15 3520 i5 1235U (N5I5052W1),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 15 fd0234TU i5 1334U (9Q969PA),N/A,N/A,N/A,N/A,N/A,N/A,0
Lenovo Ideapad Slim 3 15IAH8 i5 12450H (83ER000EVN),N/A,N/A,N/A,N/A,N/A,N/A,0
Acer Aspire 3 A315 44P R9W8 R7 5700U (NX.KSJSV.002),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 15 fc0085AU R5 7430U (A6VV8PA),N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Vivobook 15 X1504ZA i3 1215U (NJ102W),N/A,N/A,N/A,N/A,N/A,N/A,0
Lenovo Ideapad Slim 3 15AMN8 R5 7520U (82XQ00J0VN),N/A,N/A,N/A,N/A,N/A,N/A,0
MacBook Air 13 inch M1,N/A,N/A,N/A,N/A,N/A,N/A,0
Acer Aspire Lite 14 51M 59BN i5 1235U (NX.KTXSV.001),N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Vivobook 15 OLED A1505ZA i5 12500H (MA415W),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 15 fd0303TU i3 1315U (A2NL4PA),N/A,N/A,N/A,N/A,N/A,N/A,0
Acer Aspire 3 A314 42P R3B3 R7 5700U (NX.KSFSV.001),N/A,N/A,N/A,N/A,N/A,N/A,0
Dell Inspiron 15 3520 i5 1235U,N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Vivobook X1404ZA i5 1235U (NK376W),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 240 G9 i5 1235U (AG2J7AT),N/A,N/A,N/A,N/A,N/A,N/A,0
Acer Aspire 3 A315 58 529V i5 1135G7 (NX.ADDSV.00N)                 Mẫu mới,N/A,N/A,N/A,N/A,N/A,N/A,1
Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS000JVN),N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Gaming Vivobook K3605ZF i5 12500H (RP745W),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 245 G10 R5 7530U (A20TDPT),N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Vivobook Go 15 E1504FA R5 7520U (NJ776W),N/A,N/A,N/A,N/A,N/A,N/A,0
Dell Inspiron 15 3520 i5 1235U (N5I5052W1),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 15 fd0234TU i5 1334U (9Q969PA),N/A,N/A,N/A,N/A,N/A,N/A,0
Lenovo Ideapad Slim 3 15IAH8 i5 12450H (83ER000EVN),N/A,N/A,N/A,N/A,N/A,N/A,0
Acer Aspire 3 A315 44P R9W8 R7 5700U (NX.KSJSV.002),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 15 fc0085AU R5 7430U (A6VV8PA),N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Vivobook 15 X1504ZA i3 1215U (NJ102W),N/A,N/A,N/A,N/A,N/A,N/A,0
Lenovo Ideapad Slim 3 15AMN8 R5 7520U (82XQ00J0VN),N/A,N/A,N/A,N/A,N/A,N/A,0
MacBook Air 13 inch M1,N/A,N/A,N/A,N/A,N/A,N/A,0
Acer Aspire Lite 14 51M 59BN i5 1235U (NX.KTXSV.001),N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Vivobook 15 OLED A1505ZA i5 12500H (MA415W),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 15 fd0303TU i3 1315U (A2NL4PA),N/A,N/A,N/A,N/A,N/A,N/A,0
Acer Aspire 3 A314 42P R3B3 R7 5700U (NX.KSFSV.001),N/A,N/A,N/A,N/A,N/A,N/A,0
Dell Inspiron 15 3520 i5 1235U,N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Vivobook X1404ZA i5 1235U (NK376W),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 240 G9 i5 1235U (AG2J7AT),N/A,N/A,N/A,N/A,N/A,N/A,0
Acer Aspire 3 A315 58 529V i5 1135G7 (NX.ADDSV.00N)                 Mẫu mới,N/A,N/A,N/A,N/A,N/A,N/A,1
Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS000JVN),N/A,N/A,N/A,N/A,N/A,N/A,0
Asus Gaming Vivobook K3605ZF i5 12500H (RP745W),N/A,N/A,N/A,N/A,N/A,N/A,0
HP 245 G10 R5 7530U (A20TDPT),N/A,N/A,N/A,N/A,N/A,N/A,0
