id,Công nghệ CPU,Số nhân,Số luồng,Tốc độ CPU,Tốc độ tối đa,Bộ nhớ đệm,RAM,Loại RAM,Tốc độ Bus RAM,Hỗ trợ RAM tối đa,Ổ cứng,Màn hình,Độ phân giải,Tần số quét,Độ phủ màu,Công nghệ màn hình,Card màn hình,Công nghệ âm thanh,Cổng giao tiếp,Kết nối không dây,Webcam,Tính năng khác,Đèn bàn phím,Kích thước,Khối lượng tịnh,Chất liệu,Thông tin Pin,Công suất bộ sạc,Hệ điều hành,Thời điểm ra mắt,Khe đọc thẻ nhớ,Tản nhiệt,Màn hình cảm ứng
326863,Intel Core 7 Raptor Lake - 150U,10,12,Hãng không công bố,Turbo Boost 5.40 GHz,12 MB,N/A,N/A,5200 MHz,32 GB,N/A,"16""",Full HD+,N/A,45% NTSC,N/A,Card tích hợp - Intel Graphics,Realtek Audio,1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort 1.4),Bluetooth 5.3,Full HD Webcam,N/A,Đơn sắc - Màu trắng,Dài 356.78 mm - Rộng 249.52 mm - Dày 17.37 mm,1.98 kg,N/A,N/A,65 W,Windows 11 Home SL + Office Home & Student vĩnh viễn,2024,N/A,,
327898,Intel Core i7 Raptor Lake - 13620H,10,16,2.4GHz,N/A,24 MB,N/A,N/A,4800 MHz,32 GB,"512 GB SSD NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","15.6""",N/A,N/A,100% sRGB,N/A,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",N/A,"1 x USB 3.2 Gen 2 Type-C (hỗ trợ DisplayPort, Power delivery, G-SYNC)",N/A,N/A,MUX Switch,Đèn chuyển màu RGB - 1 vùng,Dài 354 mm - Rộng 251 mm - Dày 24.9 mm,2.2 kg,Vỏ nhựa - nắp lưng bằng kim loại,N/A,240 W,N/A,2024,,,
311117,Intel Core i5 Raptor Lake - 13500H,12,16,2.6GHz,N/A,18 MB,N/A,N/A,3200 MHz,24 GB,N/A,"14""",2.8K (2880 x 1800) - OLED 16:10,90 Hz,100% DCI-P3,Thời gian phản hồi 0.2 ms,"Card rời - NVIDIA GeForce RTX 3050, 4 GB",N/A,N/A,Bluetooth 5,N/A,Lớp phủ ASUS Antimicrobial Guard,Đơn sắc - Màu trắng,Dài 317.1 mm - Rộng 222.5 mm - Dày 18.9 mm,1.4 kg,N/A,N/A,90 W,N/A,2023,,Tản nhiệt ASUS IceCool Plus,
328947,Intel Core 7 Raptor Lake - 150U,10,12,Hãng không công bố,Turbo Boost 5.40 GHz,12 MB,N/A,DDR5 2 khe (1 khe 8 GB onboard + 1 khe 8 GB),5200 MHz,24 GB,N/A,"16""",N/A,N/A,,ComfortView Plus,"Card rời - NVIDIA Geforce MX570A, 2 GB",Realtek Audio,1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort 1.4),Bluetooth 5.3,Full HD Webcam,N/A,Đơn sắc - Màu trắng,Dài 356.7 mm - Rộng 249.5 mm - Dày 19 mm,1.87 kg,N/A,N/A,65 W,Windows 11 Home SL + Office Home & Student vĩnh viễn,2024,N/A,,
322003,Intel Core i5 Raptor Lake - 1335U,10,12,1.3GHz,N/A,12 MB,N/A,LPDDR5 (Onboard),6400 MHz,Không hỗ trợ nâng cấp,N/A,"14""",N/A,N/A,,N/A,Card tích hợp - Intel Iris Xe Graphics,Acer Purified Voice,N/A,N/A,N/A,N/A,Không có đèn,Dài 318.8 mm - Rộng 225.5 mm - Dày 17.99 mm,1.5 kg,N/A,N/A,,N/A,2023,,,
327899,Intel Core i7 Raptor Lake - 13620H,10,16,2.4GHz,N/A,24 MB,N/A,N/A,4800 MHz,32 GB,"512 GB SSD NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","15.6""",N/A,N/A,100% sRGB,N/A,"Card rời - NVIDIA GeForce RTX 4060, 8 GB",N/A,"1 x USB 3.2 Gen 2 Type-C (hỗ trợ DisplayPort, Power delivery, G-SYNC)",N/A,N/A,MUX Switch,Đèn chuyển màu RGB - 1 vùng,Dài 354 mm - Rộng 251 mm - Dày 24.9 mm,2.2 kg,Vỏ nhựa - nắp lưng bằng kim loại,N/A,240 W,N/A,2024,,,
327409,Intel Core i7 Raptor Lake - 1355U,10,12,1.7GHz,N/A,12 MB,N/A,N/A,3200 MHz,32 GB,N/A,"13.3""",N/A,N/A,45% NTSC,N/A,Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi),N/A,1 x Thunderbolt 4 (hỗ trợ display/power delivery),Bluetooth 5.3,N/A,N/A,Đơn sắc - Màu trắng,Dài 306.9 mm - Rộng 208.4 mm - Dày 15.9 mm,1.28 kg,N/A,N/A,65 W,N/A,2023,Smart Card,,
323335,Intel Core i5 Raptor Lake - 1335U,10,12,1.3GHz,N/A,12 MB,N/A,N/A,3200 MHz,64 GB,N/A,"13.3""",N/A,N/A,45% NTSC,N/A,Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi),N/A,1 x Thunderbolt 4 (hỗ trợ display/power delivery),Bluetooth 5.3,N/A,N/A,Đơn sắc - Màu trắng,Dài 306.9 mm - Rộng 208.4 mm - Dày 15.9 mm,1.22 kg,Vỏ kim loại - Nhôm,N/A,65 W,N/A,2023,Smart Card,,
322097,AMD Ryzen 5 - 7535HS,6,12,3.3GHz,Turbo Boost 4.55 GHz,16 MB,N/A,N/A,4800 MHz,64 GB,512 GB SSD NVMe PCIe Gen 4.0,"15.6""",N/A,N/A,45% NTSC,N/A,"Card rời - NVIDIA GeForce RTX 2050, 4 GB",N/A,"1 x USB Type-C (hỗ trợ USB 3.2, DisplayPort)",Bluetooth 5.3,N/A,N/A,Đơn sắc - Màu xanh,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm,1.86 kg,N/A,N/A,120 W,N/A,2024,,Cooler Boost,
322949,AMD Ryzen 7 - 8845HS,8,16,3.8GHz,N/A,16 MB,N/A,N/A,5600 MHz,64 GB,512 GB SSD NVMe PCIe Gen 4.0,"15.6""",N/A,N/A,45% NTSC,N/A,"Card rời - NVIDIA GeForce RTX 4060, 8 GB",N/A,1 x USB 2.0,Bluetooth 5.3,N/A,MUX Switch,Đèn chuyển màu RGB - 4 vùng,Dài 359 mm - Rộng 259 mm - Dày 24.9 mm,2.25 kg,N/A,N/A,200 W,N/A,2024,,Cooler Boost 5,
329112,Intel Core 5 Raptor Lake - 120U,10,12,1.4GHz,N/A,12 MB,N/A,DDR5 2 khe (1 khe 16 GB + 1 khe rời),5200 MHz,32 GB,"512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","15.6""",N/A,N/A,45% NTSC,Low Blue Light,Card tích hợp - Intel Graphics,N/A,"1x USB-C 3.2 (hỗ trợ truyền dữ liệu, Power Delivery và DisplayPort 1.2)",N/A,N/A,N/A,Không có đèn,Dài 359.2 mm - Rộng 235.8 mm - Dày 18.3 mm,1.61 kg,N/A,47 Wh,65 W,N/A,2024,,,
322070,Intel Core i5 Alder Lake - 1235U,10,12,1.3GHz,N/A,12 MB,N/A,N/A,2666 MHz,16 GB,Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 2 TB),"15.6""",N/A,N/A,45% NTSC,N/A,Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi),Realtek Audio,1 x USB 2.0,N/A,N/A,,Không có đèn,Dài 358.5 mm - Rộng 234.9 mm - Dày 17.5 mm,1.85 kg,N/A,N/A,65 W,Windows 11 Home SL + Office Home & Student vĩnh viễn,2023,N/A,,
330163,Intel Core i7 Raptor Lake - 13700H,14,20,2.4GHz,N/A,24 MB,N/A,LPDDR5 (Onboard),6400 MHz,Không hỗ trợ nâng cấp,N/A,"14""",2.8K (2880 x 1800) - OLED,90 Hz,100% DCI-P3,N/A,Card tích hợp - Intel Iris Xe Graphics,Acer Purified Voice,"2 x USB Type-C (hỗ trợ USB 4, Thunderbolt 4)",Bluetooth 5,QHD Webcam,N/A,Đơn sắc - Màu trắng,Dài 312.9 mm - Rộng 217.9 mm - Dày 14.9 mm,1.3 kg,Vỏ kim loại - Nhôm,N/A,100 W,Windows 11 Home SL + Office Home & Student vĩnh viễn,2023,N/A,,
304867,Intel Core i5 Tiger Lake - 11400H,6,12,2.7GHz,N/A,12 MB,N/A,N/A,3200 MHz,32 GB,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB),"15.6""",N/A,N/A,,N/A,"Card rời - NVIDIA GeForce RTX 2050, 4 GB",DTS software,1 x Thunderbolt 4 (hỗ trợ DisplayPort),N/A,N/A,N/A,Đèn chuyển màu RGB,Dài 359 mm - Rộng 256 mm - Dày 22.8 ~ 24.5 mm,2.3 kg,Vỏ nhựa - nắp lưng bằng kim loại,N/A,,N/A,2023,,2 x Quạt ICP 83 cánh,
315892,AMD Ryzen 7 - 7735HS,8,16,3.2GHz,N/A,16 MB,N/A,N/A,4800 MHz,32 GB,"512 GB SSD NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","15.6""",N/A,N/A,100% sRGB,N/A,"Card rời - NVIDIA GeForce RTX 4060, 8 GB",N/A,"1 x USB 3.2 Gen 2 Type-C (hỗ trợ DisplayPort, Power delivery, G-SYNC)",Bluetooth 5.3,N/A,MUX Switch,Đèn chuyển màu RGB - 1 vùng,Dài 354 mm - Rộng 251 mm - Dày 22.4 ~ 24.9 mm,2.2 kg,Vỏ nhựa - nắp lưng bằng kim loại,N/A,240 W,N/A,2023,,Quạt Arc Flow 84 cánh,
305917,Intel Core i7 Alder Lake - 1255U,10,12,1.7GHz,N/A,12 MB,N/A,N/A,3200 MHz,32 GB,N/A,"15.6""",N/A,N/A,,N/A,Card tích hợp - Intel Iris Xe Graphics,N/A,N/A,N/A,N/A,,Không có đèn,Dài 358.5 mm - Rộng 242 mm - Dày 17.9 mm,1.69 kg,N/A,N/A,,N/A,2022,N/A,,
302207,Intel Core i3 Alder Lake - 1215U,6,8,1.2GHz,N/A,10 MB,N/A,N/A,3200 MHz,32 GB,N/A,"15.6""",N/A,N/A,,BrightView,Card tích hợp - Intel UHD Graphics,N/A,N/A,N/A,N/A,,Không có đèn,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm,1.74 kg,N/A,N/A,,N/A,2022,,,
323746,Intel Core i5 Raptor Lake - 13420H,8,12,2.1GHz,N/A,12 MB,N/A,N/A,5200 MHz,32 GB,N/A,"15.6""",N/A,N/A,45% NTSC,N/A,"Card rời - NVIDIA GeForce RTX 2050, 4 GB",Acer Purified Voice,"1 x USB Type-C (hỗ trợ USB, DisplayPort, Thunderbolt 4)",N/A,N/A,,Đơn sắc,Dài 362.3 mm - Rộng 239.89 mm - Dày 26.9 mm,2.1 kg,N/A,N/A,135 W,N/A,2023,,2 quạt,
283458,Intel Core i7 Alder Lake - 12700H,14,20,2.30 GHz,N/A,24 MB,N/A,N/A,3200 MHz,32 GB,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 2 TB),"15.6""",N/A,N/A,,N/A,"Card rời - NVIDIA GeForce RTX 3050Ti, 4 GB",N/A,1 x USB Type-C (hỗ trợ cổng Thunderbolt 4),N/A,N/A,MUX Switch,Đèn chuyển màu RGB - 4 vùng,Dài 360.4 mm - Rộng 271.09 mm - Dày 25.9 mm,2.5 kg,N/A,N/A,180 W,N/A,2022,,,
321059,AMD Ryzen 5 - 7535HS,6,12,3.3GHz,Turbo Boost 4.55 GHz,16 MB,N/A,N/A,4800 MHz,32 GB,"512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","15.6""",N/A,N/A,100% sRGB,N/A,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",N/A,"1 x USB 3.2 Gen 2 Type-C (hỗ trợ DisplayPort, Power delivery, G-SYNC)",Bluetooth 5.3,N/A,MUX Switch,Đèn chuyển màu RGB - 1 vùng,Dài 354 mm - Rộng 251 mm - Dày 24.9 mm,2.2 kg,Vỏ nhựa - nắp lưng bằng kim loại,N/A,240 W,N/A,2023,,,
329736,Intel Core 5 Raptor Lake - 120U,10,12,1.4GHz,N/A,12 MB,N/A,DDR5 2 khe (1 khe 16 GB + 1 khe rời),5200 MHz,32 GB,"512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","14""",N/A,N/A,45% NTSC,N/A,Card tích hợp - Intel Graphics,N/A,1 x USB Type-C 3.2 (hỗ trợ USB Power Delivery và DisplayPort 1.2),N/A,N/A,N/A,Không có đèn,Dài 324.2 mm - Rộng 215.2 mm - Dày 17.9 mm,1.37 kg,N/A,47 Wh,65 W,N/A,2024,,,
318354,Intel Core i5 Raptor Lake - 13420H,8,12,2.1GHz,N/A,12 MB,N/A,N/A,5200 MHz,32 GB,N/A,"15.6""",N/A,N/A,45% NTSC,N/A,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",Spatial Audio,"1 x USB Type-C (hỗ trợ USB, DisplayPort, Thunderbolt 4)",N/A,N/A,,Đơn sắc,Dài 362.3 mm - Rộng 239.89 mm - Dày 22.9 ~ 26.9 mm,2.1 kg,N/A,N/A,135 W,N/A,2023,,2 quạt,
325051,Intel Core Ultra 7 Meteor Lake - 155H,16,22,3.8GHz,N/A,24 MB,N/A,LPDDR5X (Onboard),6400 MHz,Không hỗ trợ nâng cấp,N/A,"14""",2.8K (2880 x 1800),N/A,100% sRGB,N/A,Card tích hợp - Intel Arc Graphics,Acer Purified Voice,"2 x USB Type-C (hỗ trợ USB 4, Thunderbolt 4)",Bluetooth 5.3,QHD Webcam,N/A,Đơn sắc,Dài 312.9 mm - Rộng 217.9 mm - Dày 14.9 mm,1.32 kg,Vỏ kim loại - Nhôm,N/A,100 W,N/A,2024,N/A,,
326280,AMD Ryzen 7 - 8845HS,8,16,3.8GHz,N/A,16 MB,N/A,N/A,5600 MHz,64 GB,N/A,"15.6""",N/A,N/A,45% NTSC,N/A,"Card rời - NVIDIA GeForce RTX 4070, 8 GB",N/A,1 x USB 2.0,Bluetooth 5.3,N/A,MUX Switch,Đèn chuyển màu RGB - 4 vùng,Dài 359 mm - Rộng 259 mm - Dày 24.9 mm,2.25 kg,N/A,N/A,200 W,N/A,2024,,,
330075,Intel Core i5 Alder Lake - 1235U,10,12,1.3GHz,N/A,12 MB,N/A,N/A,2666 MHz,16 GB,Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB),"15.6""",N/A,N/A,,N/A,Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi),Realtek Audio,1 x USB 2.0,N/A,N/A,,Không có đèn,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm,1.9 kg,N/A,N/A,65 W,Windows 11 Home SL + Office Home & Student vĩnh viễn,2024,N/A,,
320434,Intel Core i7 Raptor Lake - 13620H,10,16,2.4GHz,N/A,24 MB,N/A,N/A,4800 MHz,32 GB,"512 GB SSD NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","15.6""",N/A,N/A,100% sRGB,N/A,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",N/A,"1 x USB 3.2 Gen 2 Type-C (hỗ trợ DisplayPort, Power delivery, G-SYNC)",N/A,N/A,MUX Switch,Đèn chuyển màu RGB - 1 vùng,Dài 354 mm - Rộng 251 mm - Dày 24.9 mm,2.2 kg,Vỏ nhựa - nắp lưng bằng kim loại,N/A,240 W,N/A,2023,,,
325504,Intel Core i7 Raptor Lake - 13650HX,14,20,2.6GHz,N/A,24 MB,N/A,DDR5 2 khe (1 khe 16 GB + 1 khe rời),4800 MHz,32 GB,"512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","15.6""",N/A,N/A,100% sRGB,N/A,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",N/A,"1 x USB-C 3.2 (hỗ trợ truyền dữ liệu, Power Delivery 140W và DisplayPort 1.4)",N/A,Full HD Webcam,AI Chip LA1,Đèn chuyển màu RGB - 4 vùng,Dài 359.86 mm - Rộng 258.7 mm - Dày 23.9 mm,2.38 kg,N/A,60 Wh,170 W,N/A,2023,,,
327903,Intel Core i5 Alder Lake - 1235U,10,12,1.3GHz,N/A,12 MB,N/A,N/A,3200 MHz,64 GB,512 GB SSD NVMe PCIe Gen 4.0,"15.6""",N/A,N/A,45% NTSC,N/A,Card tích hợp - Intel Iris Xe Graphics,Realtek Audio,1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort),Bluetooth 5.3,Full HD Webcam,N/A,Không có đèn,Dài 359 mm - Rộng 240 mm - Dày 20.44 mm,1.81 kg,N/A,N/A,65 W,N/A,2023,,,
328443,AMD Ryzen 5 - 7640HS,6,12,4.30 GHz,N/A,16 MB,N/A,N/A,5600 MHz,32 GB,N/A,"16.1""",N/A,N/A,45% NTSC,N/A,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",Audio by B&O,1 x Headphone/microphone combo,Bluetooth 5.3,Full HD Webcam,N/A,Đèn chuyển màu RGB - 1 vùng,Dài 369 mm - Rộng 259.4 mm - Dày 22.9 mm,2.31 kg,N/A,N/A,200 W,N/A,2024,,,
313978,Intel Core i3 Raptor Lake - 1315U,6,8,1.2GHz,N/A,10 MB,N/A,N/A,3200 MHz,16 GB,N/A,"15.6""",N/A,N/A,45% NTSC,N/A,Card tích hợp - Intel UHD Graphics,Audio by B&O,"1 x USB Type-C (hỗ trợ USB Power Delivery, DisplayPort 1.4)",N/A,N/A,,Không có đèn,Dài 360.2 mm - Rộng 234 mm - Dày 18 mm,1.68 kg,Vỏ kim loại - Nắp lưng bằng nhựa,N/A,45 W,N/A,2023,,,
315906,Intel Core i5 Raptor Lake - 1335U,10,12,1.3GHz,N/A,12 MB,N/A,N/A,3200 MHz,32 GB,N/A,"15.6""",N/A,N/A,45% NTSC,N/A,Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi),N/A,2 x USB Type-A,Bluetooth 5.3,N/A,N/A,Đơn sắc - Màu trắng,Dài 359.4 mm - Rộng 233.9 mm - Dày 19.9 mm,1.79 kg,N/A,N/A,65 W,N/A,2023,,,
326059,AMD Ryzen 5 - 7640HS,6,12,4.30 GHz,N/A,16 MB,N/A,N/A,5600 MHz,32 GB,N/A,"16.1""",N/A,N/A,45% NTSC,N/A,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",Audio by B&O,1 x Headphone/microphone combo,Bluetooth 5.3,Full HD Webcam,N/A,Đèn chuyển màu RGB - 1 vùng,Dài 369 mm - Rộng 259.4 mm - Dày 23.9 mm,2.31 kg,N/A,N/A,200 W,N/A,2024,,,
322099,Intel Core Ultra 7 Meteor Lake - 155H,16,22,1.4GHz,N/A,24 MB,N/A,N/A,5600 MHz,96 GB,512 GB SSD NVMe PCIe Gen 4.0,"15.6""",N/A,N/A,45% NTSC,N/A,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",N/A,"1 x USB Type-C (hỗ trợ USB 3.2, DisplayPort)",Bluetooth 5.3,N/A,,Đèn chuyển màu RGB - 4 vùng,Dài 359.36 mm - Rộng 250.34 mm - Dày 22.9 mm,1.98 kg,N/A,N/A,120 W,N/A,2024,,Cooler Boost,
328951,Intel Core i5 Alder Lake - 12500H,12,16,2.5GHz,N/A,18 MB,N/A,N/A,3200 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe Gen 4.0,"16""",N/A,N/A,45% NTSC,N/A,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",N/A,1 x Thunderbolt 4 (hỗ trợ display/power delivery),Bluetooth 5.3,N/A,Lớp phủ ASUS Antimicrobial Guard,Đơn sắc - Màu trắng,Dài 358.6 mm - Rộng 249.1 mm - Dày 18.9 mm,1.8 kg,N/A,"3-cell Li-ion, 70 Wh",120 W,N/A,2024,N/A,,
309305,Intel Core i7 Raptor Lake - 1355U,10,12,1.7GHz,N/A,12 MB,N/A,LPDDR5 (Onboard),4800 MHz,Không hỗ trợ nâng cấp,N/A,"14""",N/A,N/A,,ComfortView Plus,Card tích hợp - Intel Iris Xe Graphics,Waves MaxxAudio Pro,2 x Thunderbolt 4 (hỗ trợ Power Delivery),N/A,Full HD Webcam,Màn hình gập 360 độ,Đơn sắc - Màu trắng,Dài 314 mm - Rộng 226.56 mm - Dày 15.54 ~ 17.47 mm,1.62 kg,N/A,N/A,65 W,Windows 11 Home SL + Office Home & Student vĩnh viễn,2023,N/A,,N/A
314841,Intel Core i7 Raptor Lake - 1355U,10,12,1.7GHz,N/A,12 MB,N/A,N/A,3200 MHz,16 GB,N/A,"15.6""",N/A,N/A,,N/A,Card rời - NVIDIA GeForce MX550 2 GB,Realtek Audio,1 x USB 2.0,Bluetooth 5.3,N/A,N/A,Đơn sắc - Màu trắng,Dài 358.5 mm - Rộng 234.9 mm - Dày 17.5 mm,1.65 kg,N/A,N/A,65 W,Windows 11 Home SL + Office Home & Student vĩnh viễn,2023,N/A,,
310803,Intel Core i5 Alder Lake - 12500H,12,16,2.5GHz,N/A,18 MB,N/A,N/A,3200 MHz,32 GB,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB),"15.6""",N/A,N/A,62.5% sRGB,N/A,"Card rời - NVIDIA GeForce RTX 3050, 4 GB",N/A,1 x USB Type-C 3.2 (hỗ trợ DisplayPort / G-SYNC),N/A,N/A,MUX Switch,Đèn chuyển màu RGB - 1 vùng,Dài 354 mm - Rộng 251 mm - Dày 22.4 ~ 24.9 mm,2.2 kg,Vỏ nhựa - nắp lưng bằng kim loại,N/A,200 W,N/A,2023,,Quạt Arc Flow 84 cánh,
315908,Intel Core i7 Raptor Lake - 1355U,10,12,1.7GHz,N/A,12 MB,N/A,N/A,3200 MHz,32 GB,N/A,"15.6""",N/A,N/A,45% NTSC,N/A,Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi),N/A,2 x USB Type-A,Bluetooth 5.3,N/A,N/A,Đơn sắc - Màu trắng,Dài 359.4 mm - Rộng 233.9 mm - Dày 19.9 mm,1.79 kg,N/A,N/A,65 W,N/A,2023,,,
